batch,record_kind,source_path,source_heading,repository,original_path,normalized_path,rule
micro-02,content-unit,docs/operations/kpi-kri-dashboard.md,Métricas do próprio dashboard,ai-agent-governance-framework-next,docs/master/10-metrics-learning-and-improvement.md,docs/framework/10-metrics-review-and-improvement.md,canonical-framework-chapter
micro-02,content-unit,docs/operations/kpi-kri-dashboard.md,Objetivo,ai-agent-governance-framework-next,docs/master/10-metrics-learning-and-improvement.md,docs/framework/10-metrics-review-and-improvement.md,canonical-framework-chapter
micro-02,content-unit,docs/operations/kpi-kri-dashboard.md,"Três tipos, três usos",ai-agent-governance-framework-next,docs/master/10-metrics-learning-and-improvement.md,docs/framework/10-metrics-review-and-improvement.md,canonical-framework-chapter
micro-02,content-unit,schemas/README.md,Convenções,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,content-unit,schemas/README.md,Registry versus blueprint,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,content-unit,schemas/README.md,Schemas,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,content-unit,schemas/README.md,Schemas canônicos,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,content-unit,schemas/README.md,Validação,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,content-unit,specs/002-governance-contract-alignment/validation.md,Comandos planejados,ai-agent-governance-framework-next,archive/source-history/specs/002-governance-contract-alignment/validation.md,project/history/source-repository/specs/002-governance-contract-alignment/validation.md,archive-to-project-history
micro-02,content-unit,specs/002-governance-contract-alignment/validation.md,Matriz de aceite,ai-agent-governance-framework-next,archive/source-history/specs/002-governance-contract-alignment/validation.md,project/history/source-repository/specs/002-governance-contract-alignment/validation.md,archive-to-project-history
micro-02,content-unit,specs/002-governance-contract-alignment/validation.md,Validação,ai-agent-governance-framework-next,archive/source-history/specs/002-governance-contract-alignment/validation.md,project/history/source-repository/specs/002-governance-contract-alignment/validation.md,archive-to-project-history
micro-02,content-unit,templates/README.md,Assessment e release,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/README.md,Comunicação e pesquisa,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/README.md,Governança e arquitetura,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/README.md,Operação e analytics,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/README.md,Regras de uso,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/README.md,Templates,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Consequências negativas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Consequências positivas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Contexto,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Critérios de validação,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
